"county","precinct","office","district","party","candidate","votes","year","votes_cast","percent_of_vote","net_change"
"Salt Lake","SLC146","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,318,0,
"Salt Lake","SLC146","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",58,2018,318,0.182389937106918,-0.051287038838099
"Salt Lake","SLC146","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",0,2018,318,0,0
"Salt Lake","SLC148","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",399,2018,495,0.806060606060606,0.117607447019212
"Salt Lake","SLC148","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,495,0,
"Salt Lake","SLC148","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",92,2018,495,0.185858585858586,-0.0734006734006734
"Salt Lake","SLC148","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",4,2018,495,0.00808080808080808,0.00808080808080808
"Salt Lake","SLC149","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",653,2018,801,0.815230961298377,0.0159790909741875
"Salt Lake","SLC149","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,801,0,
"Salt Lake","SLC149","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",147,2018,801,0.183520599250936,0.00771012543547497
"Salt Lake","SLC149","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",1,2018,801,0.00124843945068664,0.00124843945068664
"Salt Lake","SLC150","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",16,2018,21,0.761904761904762,0.0952380952380952
"Salt Lake","SLC150","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,21,0,
"Salt Lake","SLC150","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",5,2018,21,0.238095238095238,-0.0476190476190476
"Salt Lake","SLC150","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",0,2018,21,0,0
"Salt Lake","SLC151","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",646,2018,808,0.79950495049505,0.0822347555089771
"Salt Lake","SLC151","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,808,0,
"Salt Lake","SLC151","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",159,2018,808,0.196782178217822,-0.0483431699715932
"Salt Lake","SLC151","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",3,2018,808,0.00371287128712871,0.00371287128712871
"Salt Lake","SLC152","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",569,2018,754,0.754641909814324,0.0650332728372656
"Salt Lake","SLC152","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,754,0,
"Salt Lake","SLC152","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",183,2018,754,0.242705570291777,-0.0271999627716506
"Salt Lake","SLC152","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",2,2018,754,0.0026525198938992,0.0026525198938992
"Salt Lake","SLC156","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",499,2018,633,0.788309636650869,0.102825765683127
"Salt Lake","SLC156","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,633,0,
"Salt Lake","SLC156","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",134,2018,633,0.211690363349131,-0.0850838301992559
"Salt Lake","SLC156","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",0,2018,633,0,0
"Salt Lake","SLC158","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",424,2018,522,0.812260536398467,0.124362447226493
"Salt Lake","SLC158","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,522,0,
"Salt Lake","SLC158","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",97,2018,522,0.185823754789272,-0.0986773067818532
"Salt Lake","SLC158","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",1,2018,522,0.00191570881226054,0.00191570881226054
"Salt Lake","SLC159","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",440,2018,566,0.777385159010601,0.118251449029433
"Salt Lake","SLC159","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,566,0,
"Salt Lake","SLC159","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",124,2018,566,0.219081272084806,-0.0991861478775296
"Salt Lake","SLC159","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",2,2018,566,0.00353356890459364,0.00353356890459364
"Salt Lake","SLC160","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",623,2018,840,0.741666666666667,0.105522088353414
"Salt Lake","SLC160","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,840,0,
"Salt Lake","SLC160","U.S. REPRESENTATIVE DISTRICT #4",,"REP","MIA B. LOVE",216,2018,840,0.257142857142857,-0.0838209982788296
"Salt Lake","SLC160","U.S. REPRESENTATIVE DISTRICT #4",,"","WRITE-IN",1,2018,840,0.00119047619047619,0.00119047619047619
"Salt Lake","SLC167","U.S. REPRESENTATIVE DISTRICT #4",,"DEM","BEN MCADAMS",515,2018,736,0.699728260869565,0.105682252750485
"Salt Lake","SLC167","U.S. REPRESENTATIVE DISTRICT #4",,"","JONATHAN L. PETERSON",0,2018,736,0,
