"county","precinct","year","State House DEM","State Senate DEM","US House DEM"
"Salt Lake","MID002",2018,368,350,399
"Salt Lake","MID003",2016,176,157,179
"Salt Lake","MID003",2018,472,451,516
"Salt Lake","MID004",2016,11,7,15
"Salt Lake","MID005",2016,278,230,285
"Salt Lake","MID005",2018,305,291,357
"Salt Lake","MID006",2016,322,273,320
"Salt Lake","MID006",2018,321,314,380
"Salt Lake","MID011",2016,374,302,403
"Salt Lake","MID011",2018,431,410,492
"Salt Lake","MID013",2016,185,169,204
"Salt Lake","MID013",2018,213,207,239
"Salt Lake","MID017",2016,237,214,226
"Salt Lake","MID017",2018,313,277,333
"Salt Lake","MID019",2016,238,199,252
"Salt Lake","MID019",2018,267,241,279
"Salt Lake","MID022",2016,399,357,434
"Salt Lake","MID022",2018,438,395,516
"Salt Lake","MID024",2016,367,330,371
"Salt Lake","MID024",2018,431,416,450
"Salt Lake","MID025",2016,148,139,141
"Salt Lake","MID025",2018,184,176,201
"Salt Lake","MID026",2016,48,49,57
"Salt Lake","MID027",2016,157,135,167
"Salt Lake","MID027",2018,178,165,199
"Salt Lake","MID028",2016,223,196,246
"Salt Lake","MID028",2018,288,276,304
"Salt Lake","MID030",2016,142,117,156
"Salt Lake","MID030",2018,183,149,174
"Salt Lake","MID032",2016,0,0,0
"Salt Lake","MID032",2018,0,0,0
"Salt Lake","MIL001",2016,492,,507
"Salt Lake","MIL001",2018,515,533,574
"Salt Lake","MIL002",2018,518,537,584
"Salt Lake","MIL003",2018,434,428,470
"Salt Lake","MIL004",2016,521,,498
"Salt Lake","MIL004",2018,549,571,603
"Salt Lake","MIL005",2018,290,302,305
"Salt Lake","MIL006",2018,382,380,408
"Salt Lake","MIL007",2016,257,,247
"Salt Lake","MIL007",2018,116,116,127
"Salt Lake","MIL008",2016,435,,433
"Salt Lake","MIL008",2018,124,133,150
"Salt Lake","MIL009",2018,368,403,450
"Salt Lake","MIL010",2016,488,,488
"Salt Lake","MIL010",2018,222,250,272
"Salt Lake","MIL011",2016,390,,376
"Salt Lake","MIL011",2018,540,586,618
"Salt Lake","MIL012",2016,59,,64
"Salt Lake","MIL012",2018,443,445,472
"Salt Lake","MIL013",2016,339,,355
"Salt Lake","MIL013",2018,392,401,425
"Salt Lake","MIL014",2016,110,,110
"Salt Lake","MIL014",2018,261,270,278
"Salt Lake","MIL015",2016,211,,236
"Salt Lake","MIL015",2018,534,538,579
"Salt Lake","MIL016",2016,488,,517
"Salt Lake","MIL016",2018,422,445,469
"Salt Lake","MIL017",2018,214,216,246
"Salt Lake","MIL018",2016,372,,394
"Salt Lake","MIL018",2018,637,654,703
"Salt Lake","MIL019",2016,370,,359
"Salt Lake","MIL019",2018,406,433,442
"Salt Lake","MIL020",2016,283,,259
"Salt Lake","MIL020",2018,433,446,456
"Salt Lake","MIL021",2018,323,354,368
"Salt Lake","MIL022",2016,530,,521
"Salt Lake","MIL022",2018,457,466,466
"Salt Lake","MIL023",2018,410,434,417
"Salt Lake","MIL024",2016,428,,405
"Salt Lake","MIL024",2018,456,453,469
"Salt Lake","MIL025",2016,202,,201
"Salt Lake","MIL025",2018,464,477,479
"Salt Lake","MIL026",2016,637,,619
"Salt Lake","MIL026",2018,431,435,471
"Salt Lake","MIL027",2018,452,478,490
"Salt Lake","MIL028",2018,332,356,334
"Salt Lake","MIL029",2016,365,,365
