"county","precinct","year","max_votes","State House CON","State House DEM","State House LIB","State House REP","State Senate DEM","State Senate LIB","State Senate REP","US House CON","US House DEM","US House REP"
"Salt Lake","BLF001",2016,957,,0.165207877461707,,0.834792122538293,,,,0.0752351097178683,0.215256008359457,0.709508881922675
"Salt Lake","BLF001",2018,941,,0.166306695464363,,0.733261339092873,0.19848975188781,,0.80151024811219,,0.253985122210414,0.740701381509033
"Salt Lake","BLF003",2016,812,,0.246736292428198,,0.753263707571802,,,,0.0394088669950739,0.298029556650246,0.66256157635468
"Salt Lake","BLF003",2018,976,,0.292073832790445,,0.648208469055375,0.32829373650108,,0.67170626349892,,0.378073770491803,0.610655737704918
"Salt Lake","BLF004",2016,779,,0.160762942779292,,0.839237057220708,,,,0.0462130937098845,0.209242618741977,0.744544287548139
"Salt Lake","BLF004",2018,870,,0.16969696969697,,0.756363636363636,0.192076830732293,,0.807923169267707,,0.258620689655172,0.741379310344828
"Salt Lake","BLF005",2016,28,,0.115384615384615,,0.884615384615385,,,,0.0714285714285714,0.142857142857143,0.785714285714286
"Salt Lake","BLF005",2018,23,,0.181818181818182,,0.772727272727273,0.130434782608696,,0.869565217391304,,0.217391304347826,0.739130434782609
"Salt Lake","BLF006",2016,495,,0.196581196581197,,0.803418803418803,,,,0.0303030303030303,0.254545454545455,0.715151515151515
"Salt Lake","BLF006",2018,1194,,0.355298308103295,,0.553873552983081,0.384683098591549,,0.615316901408451,,0.461474036850921,0.533500837520938
"Salt Lake","BLF007",2016,1406,,0.225287356321839,,0.774712643678161,,,,0.058321479374111,0.260312944523471,0.681365576102418
"Salt Lake","BLF007",2018,845,,0.220048899755501,,0.713936430317848,0.232360097323601,,0.767639902676399,,0.275739644970414,0.717159763313609
"Salt Lake","CBL001",2016,227,,0.493212669683258,,0.506787330316742,,,,0.0572687224669604,0.515418502202643,0.427312775330396
"Salt Lake","CBL001",2018,223,,0.506787330316742,,0.493212669683258,0.509009009009009,,0.490990990990991,,0.614349775784753,0.385650224215247
"Salt Lake","CBL002",2016,183,,0.505555555555556,,0.494444444444444,,,,0.0327868852459016,0.46448087431694,0.502732240437158
"Salt Lake","CBL002",2018,172,,0.539877300613497,,0.460122699386503,0.518518518518518,,0.481481481481481,,0.558139534883721,0.436046511627907
"Salt Lake","CNR001",2016,572,,0.564245810055866,,0.435754189944134,,,,0.0244755244755245,0.559440559440559,0.416083916083916
"Salt Lake","CNR002",2016,584,,0.730633802816901,,0.269366197183099,,,,0.0325342465753425,0.717465753424658,0.25
"Salt Lake","CNR004",2016,629,,1,,,,,,0.0254372019077901,0.556438791732909,0.4181240063593
"Salt Lake","CNR005",2016,663,,1,,,,,,0.0301659125188537,0.6289592760181,0.340874811463047
"Salt Lake","CNR007",2016,663,,1,,,,,,0.0377073906485671,0.600301659125189,0.361990950226244
"Salt Lake","CNR008",2016,577,,1,,,,,,0.0381282495667244,0.629116117850953,0.332755632582322
"Salt Lake","CNR009",2016,497,,1,,,,,,0.0362173038229376,0.51307847082495,0.450704225352113
"Salt Lake","CNR010",2016,835,,1,,,,,,0.0215568862275449,0.616766467065868,0.361676646706587
"Salt Lake","CNR011",2016,677,,1,,,,,,0.0251107828655835,0.505169867060561,0.469719350073855
"Salt Lake","COP001",2016,351,,0.479411764705882,,0.520588235294118,,,,0.0797720797720798,0.521367521367521,0.398860398860399
"Salt Lake","COP001",2018,336,0.0178571428571429,0.541666666666667,0.0922619047619048,0.348214285714286,0.566265060240964,,0.36144578313253,,0.589820359281437,0.395209580838323
"Salt Lake","DRP002",2016,1018,,0.375384615384615,,0.624615384615385,,,,0.0422396856581532,0.389980353634578,0.567779960707269
"Salt Lake","DRP002",2018,1012,,,,0.555434782608696,0.425287356321839,,0.574712643678161,,0.50197628458498,0.493083003952569
"Salt Lake","DRP005",2016,0,,,,,,,,,,
"Salt Lake","DRP007",2016,536,,0.336713995943205,,0.663286004056795,,,,0.0764925373134328,0.317164179104478,0.60634328358209
"Salt Lake","DRP007",2018,607,,,,0.535849056603774,0.436619718309859,,0.563380281690141,,0.477759472817133,0.518945634266886
"Salt Lake","EMC001",2016,731,,1,,,,,,0.00957592339261286,0.619699042407661,0.370725034199726
"Salt Lake","EMC003",2016,607,,1,,,,,,0.0411861614497529,0.640856672158155,0.317957166392092
"Salt Lake","EMC004",2016,867,,1,,,,,,0.0230680507497117,0.477508650519031,0.499423298731257
"Salt Lake","EMC005",2016,652,,1,,,,,,0.0306748466257669,0.470858895705521,0.498466257668712
"Salt Lake","EMC006",2016,764,,1,,,,,,0.0235602094240838,0.592931937172775,0.383507853403141
"Salt Lake","EMC007",2016,705,,1,,,,,,0.0198581560283688,0.571631205673759,0.408510638297872
"Salt Lake","EMC008",2016,939,,1,,,,,,0.0212992545260916,0.577209797657082,0.401490947816826
"Salt Lake","EMC010",2016,656,,1,,,,,,0.00609756097560976,0.503048780487805,0.490853658536585
"Salt Lake","EMC011",2016,521,,1,,,,,,0.0191938579654511,0.581573896353167,0.399232245681382
"Salt Lake","FUR001",2016,2,,0.5,,0.5,0.5,0,0.5,0.5,0.5,0
"Salt Lake","FUR001",2018,0,,,,,,,,,,
"Salt Lake","HER001",2016,705,,0.319314641744548,,0.680685358255452,0.344563552833078,,0.655436447166922,0.049645390070922,0.365957446808511,0.584397163120567
"Salt Lake","HER001",2018,1221,,0.403074295473954,,0.596925704526046,,,,,0.444717444717445,0.548730548730549
"Salt Lake","HER002",2016,1002,,0.254797441364606,,0.745202558635394,0.269024651661308,,0.730975348338692,0.0518962075848303,0.339321357285429,0.608782435129741
"Salt Lake","HER002",2018,925,,0.313266443701226,,0.686733556298774,,,,,0.406486486486486,0.589189189189189
"Salt Lake","HER003",2016,81,,,,1,0.527027027027027,,0.472972972972973,0.0493827160493827,0.481481481481481,0.469135802469136
"Salt Lake","HER003",2018,58,,,,0.319148936170213,,,,,0.793103448275862,0.206896551724138
"Salt Lake","HER004",2016,624,,0.25557461406518,,0.74442538593482,0.241438356164384,,0.758561643835616,0.0576923076923077,0.317307692307692,0.625
"Salt Lake","HER004",2018,634,,0.314754098360656,,0.685245901639344,,,,,0.367507886435331,0.618296529968454
"Salt Lake","HER005",2016,928,,0.204976303317536,,0.795023696682464,,,0.977027027027027,0.0711206896551724,0.251077586206897,0.677801724137931
"Salt Lake","HER005",2018,1062,,0.270873786407767,,0.729126213592233,,,,,0.321092278719397,0.677966101694915
"Salt Lake","HER006",2016,545,,0.2,,0.8,0.214285714285714,,0.785714285714286,0.0458715596330275,0.240366972477064,0.713761467889908
"Salt Lake","HER006",2018,494,,0.262939958592132,,0.737060041407868,,,,,0.255060728744939,0.740890688259109
"Salt Lake","HER007",2016,404,,0.248677248677249,,0.751322751322751,0.255263157894737,,0.744736842105263,0.0643564356435644,0.28960396039604,0.646039603960396
"Salt Lake","HER007",2018,350,,0.289085545722714,,0.710914454277286,,,,,0.322857142857143,0.677142857142857
"Salt Lake","HER008",2016,582,,0.202952029520295,,0.797047970479705,0.226039783001808,,0.773960216998192,0.0498281786941581,0.25085910652921,0.699312714776632
"Salt Lake","HER008",2018,554,,0.272222222222222,,0.727777777777778,,,,,0.335740072202166,0.660649819494585
"Salt Lake","HER009",2016,505,,0.240816326530612,,0.759183673469388,0.221074380165289,,0.778925619834711,0.0732673267326733,0.24950495049505,0.677227722772277
"Salt Lake","HER009",2018,468,,0.288503253796095,,0.711496746203905,,,,,0.329059829059829,0.664529914529915
"Salt Lake","HER010",2016,609,,0.24006908462867,,0.75993091537133,0.26643598615917,,0.73356401384083,0.0509031198686371,0.292282430213465,0.656814449917898
"Salt Lake","HER010",2018,608,,0.317789291882556,,0.682210708117444,,,,,0.373355263157895,0.623355263157895
"Salt Lake","HER011",2016,249,,0.267241379310345,,0.732758620689655,,,,0.0481927710843374,0.305220883534137,0.646586345381526
"Salt Lake","HER011",2018,253,,0.336065573770492,,0.663934426229508,0.336032388663968,,0.663967611336032,,0.41897233201581,0.58102766798419
"Salt Lake","HER012",2016,675,,0.271704180064309,,0.728295819935691,,,0.979963570127505,0.0725925925925926,0.305185185185185,0.622222222222222
"Salt Lake","HER012",2018,959,,0.353778751369113,,0.646221248630887,,,,,0.37747653806048,0.618352450469239
"Salt Lake","HER013",2016,1242,,0.204663212435233,,0.795336787564767,,,0.982421875,0.0547504025764895,0.223027375201288,0.722222222222222
"Salt Lake","HER013",2018,990,,0.217842323651452,,0.782157676348548,,,,,0.255555555555556,0.738383838383838
"Salt Lake","HER014",2016,1070,,0.184782608695652,,0.815217391304348,,,0.984287317620651,0.0373831775700935,0.235514018691589,0.727102803738318
"Salt Lake","HER014",2018,998,,0.25564681724846,,0.74435318275154,,,,,0.298597194388778,0.698396793587174
"Salt Lake","HER015",2016,520,,0.211538461538462,,0.788461538461538,,,0.976019184652278,0.0384615384615385,0.276923076923077,0.684615384615385
"Salt Lake","HER015",2018,1072,,0.384690873405299,,0.615309126594701,,,,,0.408582089552239,0.588619402985075
"Salt Lake","HER016",2016,52,,0.254901960784314,,0.745098039215686,0.16,,0.84,0.0192307692307692,0.269230769230769,0.711538461538462
"Salt Lake","HER016",2018,51,,0.285714285714286,,0.714285714285714,,,,,0.254901960784314,0.745098039215686
"Salt Lake","HER017",2016,586,,0.156424581005587,,0.843575418994413,0.181818181818182,,0.818181818181818,0.0699658703071672,0.232081911262799,0.697952218430034
"Salt Lake","HER017",2018,741,,0.282336578581363,,0.717663421418637,,,,,0.33468286099865,0.662618083670715
"Salt Lake","HER018",2016,99,,0.2,,0.8,,,1,0.0404040404040404,0.191919191919192,0.767676767676768
"Salt Lake","HER018",2018,126,,0.184873949579832,,0.815126050420168,,,,,0.198412698412698,0.785714285714286
"Salt Lake","HER019",2016,880,,0.300370828182942,,0.699629171817058,0.304938271604938,,0.695061728395062,0.0556818181818182,0.330681818181818,0.613636363636364
"Salt Lake","HER019",2018,1111,,0.454887218045113,,0.545112781954887,,,,,0.474347434743474,0.519351935193519
"Salt Lake","HER020",2016,234,,0.21256038647343,,0.78743961352657,,,0.98876404494382,0.047008547008547,0.222222222222222,0.730769230769231
"Salt Lake","HER020",2018,233,,0.331877729257642,,0.668122270742358,,,,,0.309012875536481,0.686695278969957
"Salt Lake","HER022",2016,149,,0.169014084507042,,0.830985915492958,0.131944444444444,,0.868055555555556,0.0402684563758389,0.221476510067114,0.738255033557047
"Salt Lake","HER022",2018,143,,0.244604316546763,,0.755395683453237,,,,,0.314685314685315,0.657342657342657
"Salt Lake","HER024",2016,216,,0.267676767676768,,0.732323232323232,,,,0.0601851851851852,0.37962962962963,0.560185185185185
"Salt Lake","HER024",2018,204,,0.319796954314721,,0.680203045685279,0.343434343434343,,0.656565656565657,,0.426470588235294,0.573529411764706
"Salt Lake","HER025",2016,12,,0.0909090909090909,,0.909090909090909,0.181818181818182,,0.818181818181818,0.0833333333333333,0.333333333333333,0.583333333333333
"Salt Lake","HER025",2018,25,,0.458333333333333,,0.541666666666667,,,,,0.4,0.52
"Salt Lake","HOL032",2016,573,,1,,,,,,0.0191972076788831,0.596858638743455,0.383944153577661
"Salt Lake","HOL032",2018,606,,0.676126878130217,,0.323873121869783,0.690878378378378,,0.309121621621622,,0.668316831683168,0.33003300330033
"Salt Lake","HOL033",2016,525,,1,,,,,,0.0285714285714286,0.546666666666667,0.424761904761905
"Salt Lake","HOL033",2018,508,,0.643700787401575,,0.356299212598425,0.599601593625498,,0.400398406374502,,0.614173228346457,0.383858267716535
"Salt Lake","HOL034",2016,561,,1,,,,,,0.0249554367201426,0.595365418894831,0.379679144385027
"Salt Lake","HOL034",2018,554,,0.673285198555957,,0.326714801444043,0.697080291970803,,0.302919708029197,,0.660649819494585,0.335740072202166
