precinct	Registered Voters	Ballots Cast	Voter Turnout
WVC044	612	441	0.72
WVC045	807	590	0.73
WVC046	973	689	0.71
WVC047	447	323	0.72
WVC049	736	497	0.68
WVC051	833	597	0.72
WVC052	789	609	0.77
WVC053	611	461	0.75
WVC054	834	582	0.70
WVC055	784	559	0.71
WVC056	286	200	0.70
WVC057	731	552	0.76
WVC058	677	555	0.82
WVC059	749	564	0.75
WVC060	688	523	0.76
WVC061	676	545	0.81
WVC062	569	436	0.77
WVC063	858	689	0.80
WVC065	419	327	0.78
WVC066	537	403	0.75
WVC067	549	418	0.76
WVC068	529	444	0.84
WVC070	577	458	0.79
WVC071	851	668	0.79
WVC072	906	703	0.78
WVC073	48	21	0.44
WVC074	278	227	0.82
WVC076	135	101	0.75
WVC077	451	351	0.78
WVC078	359	284	0.79
WVC079	449	350	0.78
Total:	517444	423948	0.82
