precinct,Registered Voters,Ballots Cast,Voter Turnout
MIL026,728,630,86.54 %
MIL027,987,877,88.86 %
MIL028,750,681,90.80 %
MIL029,672,580,86.31 %
MIL030,577,525,90.99 %
MIL031,760,673,88.55 %
MIL032,946,858,90.70 %
MIL033,839,749,89.27 %
MIL034,791,692,87.48 %
MIL035,1004,893,88.94 %
MIL036,788,705,89.47 %
MIL037,620,547,88.23 %
MIL038,688,638,92.73 %
MIL039,778,714,91.77 %
MIL040,676,612,90.53 %
MIL041,490,453,92.45 %
MIL042,599,536,89.48 %
MIL043,854,771,90.28 %
MIL044,486,434,89.30 %
MIL045,618,559,90.45 %
MOL009,1,1,100.00 %
MUR001,18,12,66.67 %
MUR002,956,712,74.48 %
MUR003,257,211,82.10 %
MUR004,541,490,90.57 %
MUR005,683,554,81.11 %
MUR006,5,1,20.00 %
MUR007,564,489,86.70 %
MUR008,1044,862,82.57 %
MUR009,351,303,86.32 %
MUR010,47,39,82.98 %
MUR011,673,592,87.96 %
MUR012,774,666,86.05 %
MUR013,141,121,85.82 %
MUR014,541,484,89.46 %
MUR015,418,351,83.97 %
MUR016,536,467,87.13 %
MUR017,345,276,80.00 %
MUR018,846,732,86.52 %
MUR019,396,356,89.90 %
MUR020,771,650,84.31 %
MUR021,769,664,86.35 %
MUR022,73,67,91.78 %
MUR023,697,599,85.94 %
MUR024,574,492,85.71 %
MUR025,696,562,80.75 %
MUR027,1017,900,88.50 %
MUR029,944,841,89.09 %
MUR030,725,592,81.66 %
MUR031,785,656,83.57 %
MUR032,497,415,83.50 %
MUR033,426,355,83.33 %
MUR034,536,470,87.69 %
MUR035,568,474,83.45 %
MUR036,845,752,88.99 %
MUR037,685,573,83.65 %
MUR038,440,364,82.73 %
MUR039,759,678,89.33 %
MUR040,204,161,78.92 %
MUR041,481,432,89.81 %
MUR042,816,681,83.46 %
MUR043,905,797,88.07 %
MUR044,97,89,91.75 %
MUR045,16,12,75.00 %
MUR046,616,502,81.49 %
MUR047,376,303,80.59 %
MUR048,90,78,86.67 %
MUR049,618,553,89.48 %
MUR050,543,460,84.71 %
MUR051,39,35,89.74 %
MUR052,57,43,75.44 %
MUR053,19,14,73.68 %
NJC001,23,19,82.61 %
PCN001,10,7,70.00 %
RIV001,1236,985,79.69 %
RIV002,784,625,79.72 %
RIV003,1055,862,81.71 %
RIV004,925,751,81.19 %
RIV005,665,559,84.06 %
RIV006,74,55,74.32 %
RIV007,440,370,84.09 %
RIV008,1012,858,84.78 %
RIV009,788,633,80.33 %
RIV010,933,756,81.03 %
RIV011,286,236,82.52 %
RIV012,738,618,83.74 %
RIV013,453,324,71.52 %
RIV015,1187,984,82.90 %
RIV016,962,801,83.26 %
RIV017,837,712,85.07 %
RIV018,382,305,79.84 %
RIV019,804,664,82.59 %
RIV020,583,507,86.96 %
RIV021,881,664,75.37 %
RIV022,940,701,74.57 %
RIV023,729,583,79.97 %
RIV024,467,356,76.23 %
RIV025,1213,1006,82.93 %
RIV026,992,817,82.36 %
RIV027,656,537,81.86 %
RIV028,304,262,86.18 %
RIV029,582,477,81.96 %
RIV030,296,238,80.41 %
RIV031,553,460,83.18 %
SAN001,787,643,81.70 %
SAN002,212,174,82.08 %
SAN003,315,276,87.62 %
SAN004,546,447,81.87 %
SAN005,896,740,82.59 %
SAN006,442,305,69.00 %
SAN007,248,184,74.19 %
SAN009,1060,905,85.38 %
SAN010,223,196,87.89 %
SAN011,930,792,85.16 %
SAN012,706,583,82.58 %
SAN013,650,550,84.62 %
SAN014,653,563,86.22 %
SAN015,758,610,80.47 %
SAN016,267,238,89.14 %
SAN018,805,635,78.88 %
SAN019,501,429,85.63 %
SAN020,169,141,83.43 %
SAN021,395,336,85.06 %
SAN022,1007,896,88.98 %
SAN024,770,643,83.51 %
SAN026,684,566,82.75 %
SAN027,880,753,85.57 %
SAN029,694,611,88.04 %
SAN030,515,435,84.47 %
SAN031,606,539,88.94 %
SAN032,514,429,83.46 %
SAN033,951,837,88.01 %
SAN034,578,511,88.41 %
SAN035,483,389,80.54 %
SAN036,555,473,85.23 %
SAN038,930,794,85.38 %
SAN039,803,605,75.34 %
SAN040,298,232,77.85 %
SAN041,567,474,83.60 %
SAN042,698,567,81.23 %
SAN043,541,436,80.59 %
SAN044,886,708,79.91 %
SAN045,1157,965,83.41 %
SAN048,882,689,78.12 %
SAN049,903,729,80.73 %
SAN050,823,703,85.42 %
SAN051,790,676,85.57 %
SAN052,193,158,81.87 %
SAN053,813,686,84.38 %
SAN054,784,671,85.59 %
SAN055,640,570,89.06 %
SAN056,920,799,86.85 %
SAN057,1090,943,86.51 %
SAN058,935,779,83.32 %
SAN059,174,160,91.95 %
SAN060,861,759,88.15 %
SAN061,612,518,84.64 %
SAN062,583,425,72.90 %
SAN063,756,627,82.94 %
SAN064,585,464,79.32 %
SAN065,809,661,81.71 %
SAN066,685,546,79.71 %
SAN067,814,668,82.06 %
SAN068,308,255,82.79 %
SAN069,678,539,79.50 %
SAN071,483,399,82.61 %
SAN072,786,668,84.99 %
SAN073,782,649,82.99 %
SAN074,665,551,82.86 %
SAN075,725,584,80.55 %
SAN076,393,313,79.64 %
SAN077,558,486,87.10 %
SAN078,818,682,83.37 %
SAN079,977,829,84.85 %
SAN080,361,302,83.66 %
SAN081,882,767,86.96 %
SAN082,985,791,80.30 %
SAN084,829,682,82.27 %
SAN086,966,828,85.71 %
SAN087,822,701,85.28 %
SHL001,116,103,88.79 %
SHL002,436,371,85.09 %
SHL004,116,97,83.62 %
SHL005,145,119,82.07 %
SHL006,358,301,84.08 %
SIL001,10,6,60.00 %
SIL003,30,26,86.67 %
SIL009,99,75,75.76 %
SIL013,51,40,78.43 %
SJD001,1028,811,78.89 %
SJD002,40,35,87.50 %
SJD003,881,715,81.16 %
SJD004,863,712,82.50 %
SJD005,630,530,84.13 %
SJD006,1115,909,81.52 %
SJD007,478,409,85.56 %
SJD008,1199,939,78.32 %
SJD009,157,124,78.98 %
SJD010,802,647,80.67 %
SJD011,976,735,75.31 %
SJD012,1000,816,81.60 %
SJD013,920,790,85.87 %
SJD014,875,744,85.03 %
SJD015,758,633,83.51 %
SJD016,687,595,86.61 %
SJD017,1107,887,80.13 %
SJD018,598,521,87.12 %
SJD019,742,652,87.87 %
SJD020,118,88,74.58 %
SJD021,620,510,82.26 %
SJD022,1258,1049,83.39 %
SJD023,1041,821,78.87 %
SJD024,818,647,79.10 %
SJD025,769,627,81.53 %
SJD026,1097,885,80.67 %
SJD027,1248,1024,82.05 %
SJD028,840,630,75.00 %
SJD029,806,622,77.17 %
SJD030,1032,847,82.07 %
SJD031,983,799,81.28 %
SJD032,1279,925,72.32 %
SJD033,1333,1069,80.20 %
SJD034,740,583,78.78 %
SJD035,1014,879,86.69 %
SJD036,666,547,82.13 %
SJD037,439,386,87.93 %
SJD038,1034,854,82.59 %
SJD039,105,85,80.95 %
SJD040,945,776,82.12 %
SJD041,1003,857,85.44 %
SJD042,917,688,75.03 %
SJD045,457,396,86.65 %
SJD046,327,270,82.57 %
SJD047,782,629,80.43 %
SJD049,434,345,79.49 %
SJD050,363,317,87.33 %
SLC001,32,21,65.63 %
SLC002,603,438,72.64 %
SLC003,820,575,70.12 %
SLC004,534,381,71.35 %
SLC005,704,499,70.88 %
SLC006,505,338,66.93 %
SLC007,770,510,66.23 %
SLC008,207,168,81.16 %
SLC009,945,792,83.81 %
SLC010,232,152,65.52 %
SLC011,809,653,80.72 %
SLC012,958,781,81.52 %
SLC013,425,358,84.24 %
SLC014,502,438,87.25 %
